index_cafeteria,cafeteria_name,menu_name,menu_price
7502.0,백돈춘천점,,
7519.0,야미마라탕,꿔바로우소,
7519.0,야미마라탕,새우볶음밥,
7519.0,야미마라탕,마라탕,
7523.0,곰소젓갈밥상,,
7524.0,호앤호,,
7526.0,넘버25호텔남춘천점,,
7535.0,피시프레시,물회,"12,000                            "
7535.0,피시프레시,회덮밥,"6,000                            "
7535.0,피시프레시,노르웨이 자반1손,"6,900                            "
7542.0,못생긴핫도그,,
7544.0,베러인타임(better in time),먹태,
7544.0,베러인타임(better in time),감자튀김,
7544.0,베러인타임(better in time),간사이오뎅탕,
7545.0,명륜진사갈비춘천효자점,숯불돼지갈비,
7545.0,명륜진사갈비춘천효자점,쌈싸먹는 김치찌개(찜),
7545.0,명륜진사갈비춘천효자점,"고기주는 냉면(물,비빔)",
7547.0,왕가탕후루 강원대점,,
7550.0,세이(Say),세이몬드크림라떼,"5,500                            "
7550.0,세이(Say),레몬파운드,"3,500                            "
7550.0,세이(Say),플레인스콘,"3,000                            "
